#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ntp
#open	2026-08-02-12-48-49
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	mode	stratum	poll	precision	root_delay	root_disp	ref_id	ref_time	org_time	rec_time	xmt_time	num_exts
#types	time	string	addr	port	addr	port	count	count	count	interval	interval	interval	interval	string	time	time	time	time	count
1785655129.225003	CtpAk14E1YSXmfGfY5	192.168.1.3	65524	162.159.200.1	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1785655129.212716	0
1785655129.225003	CtpAk14E1YSXmfGfY5	192.168.1.3	65524	162.159.200.1	123	4	4	3	1.000000	0.000000	0.117340	0.001358	10.254.8.4	1785655112.569584	1785655129.212716	1785655129.200259	1785655129.200346	0
1785655167.200646	CfPrUQ1VrBYUAS7308	192.168.1.3	61003	162.159.200.1	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1785655167.200489	0
1785655167.209316	CfPrUQ1VrBYUAS7308	192.168.1.3	61003	162.159.200.1	123	4	4	3	1.000000	0.000000	0.117340	0.001404	10.254.8.4	1785655112.569584	1785655167.200489	1785655167.188259	1785655167.188339	0
1785655227.208828	C259BQ1w5Vefb0q7O9	192.168.1.3	53043	162.159.200.1	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1785655227.208684	0
1785655227.216823	C259BQ1w5Vefb0q7O9	192.168.1.3	53043	162.159.200.1	123	4	4	3	1.000000	0.000000	0.117386	0.001465	10.59.8.200	1785655180.286923	1785655227.208684	1785655227.199078	1785655227.199138	0
1785655287.200634	Cufphm4VD3ckel9Qqe	192.168.1.3	51393	162.159.200.1	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1785655287.200416	0
1785655287.208471	Cufphm4VD3ckel9Qqe	192.168.1.3	51393	162.159.200.1	123	4	4	3	1.000000	0.000000	0.117294	0.001678	10.253.8.4	1785655238.889778	1785655287.200416	1785655287.187568	1785655287.187632	0
1785655347.200167	CNaz6YRUBcqMN8uDd	192.168.1.3	63498	162.159.200.1	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1785655347.199996	0
1785655347.208525	CNaz6YRUBcqMN8uDd	192.168.1.3	63498	162.159.200.1	123	4	4	3	1.000000	0.000000	0.117294	0.001663	10.253.8.4	1785655304.023865	1785655347.199996	1785655347.187284	1785655347.187337	0
1785655407.198396	C2UdznRFYHeF4sE4c	192.168.1.3	63806	162.159.200.1	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1785655407.198224	0
1785655407.206414	C2UdznRFYHeF4sE4c	192.168.1.3	63806	162.159.200.1	123	4	4	3	1.000000	0.000000	0.117340	0.001373	10.254.8.4	1785655369.717962	1785655407.198224	1785655407.185362	1785655407.185421	0
